steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
30333	5	3001.6084785461426	-6322.43	-7500.0	2387.1624855514638	-96.0	-7500.0	-43.91585437039072	0.13306829844305063	29333
61059	11	5971.5694670677185	-6713.73	-7500.0	2090.070497361128	-283.0	-7500.0	-68.13613208042462	0.12325730662928679	60059
90275	19	8286.65061545372	-5766.94	-7500.0	2748.9028769068336	-129.0	-7500.0	-80.45699864188586	0.11200358818551429	89275
121977	25	11597.143613100052	-7145.92	-7500.0	1202.6154383364835	-844.0	-7500.0	-88.8250586127935	0.1177445651252664	120977
150745	29	14242.145102500916	-5380.89	-7218.5	2482.683514309108	-335.0	-7500.0	-94.2259769765717	0.1621245551281894	149745
180745	33	17621.07468342781	-7399.08	-7500.0	566.0513000987052	-3168.0	-7500.0	-97.27878086776039	0.14977519556654628	179745
210740	37	20101.367874860764	-6508.45	-7500.0	2351.130505531414	-88.0	-7500.0	-98.49758248656586	0.11336998223619017	209740
240019	41	22576.441117048264	-5831.85	-7500.0	2730.568026061518	-82.0	-7500.0	-99.65476830849586	0.07913927018429409	239019
270016	45	25691.091804742813	-6752.59	-7500.0	1982.1498587456126	-97.0	-7500.0	-99.89109919255804	0.23863962833787647	269016
301967	50	29244.108401298523	-7326.15	-7500.0	983.9426399373434	-810.0	-7500.0	-99.97973585065267	0.10046572855020795	300967
331962	54	32194.521161556244	-7054.04	-7500.0	1707.771830382052	-72.0	-7500.0	-100.6003704556695	0.1139428790504193	330962
365048	64	35244.86992716789	-7055.31	-7500.0	1704.4169102480162	-87.0	-7500.0	-100.52652059158727	0.06985399108454887	364048
397460	75	38443.35567498207	-7203.61	-7500.0	882.6396807075897	-2562.0	-7500.0	-100.02537595727034	0.039062031229434795	396460
420734	79	41328.04286599159	-7053.92	-7500.0	1708.152056487012	-71.0	-7500.0	-101.0797529192402	0.12361140012622192	419734
452585	87	44272.19368815422	-7054.19	-7500.0	1707.093824946865	-77.0	-7500.0	-99.9611594959385	0.03437390128043623	451585
481222	92	47187.38008141518	-7054.3	-7500.0	1707.1466802471275	-73.0	-7500.0	-100.6225823850415	0.047367907782498525	480222
516334	99	50576.051642894745	-7451.05	-7500.0	450.5985105132591	-3008.0	-7500.0	-100.39391297364678	0.011611793875622459	515334
541416	104	52599.71317195892	-4195.9	-3855.0	3106.94431878011	-133.0	-7500.0	-100.30294280414437	0.008890398804325671	540416
571764	109	55948.78862476349	-7491.19	-7500.0	62.20943690794862	-7022.0	-7500.0	-100.53605488336997	0.014136511935127561	570764
600225	117	59128.8373374939	-6823.83	-7500.0	1917.0333038264614	-120.0	-7500.0	-99.96168834898056	0.003905799642947064	599225
631499	123	61678.42487120628	-5986.57	-7500.0	2635.6784925826264	-78.0	-7500.0	-99.61264196293538	0.0032113100433174666	630499
665992	129	64794.05027484894	-7129.64	-7500.0	1554.9805774875892	-147.0	-7500.0	-99.71353116557947	0.0006325338850372065	664992
695990	133	67280.79348111153	-6176.3	-7500.0	2464.994701573997	-118.0	-7500.0	-100.19749981299593	0.00010177949046945386	694990
725987	137	70271.85960793495	-7053.91	-7500.0	1708.1933518111225	-70.0	-7500.0	-100.00814436645467	0.004295212227372521	724987
755982	141	72384.86397147179	-4169.58	-3718.0	3154.2087521470758	-111.0	-7500.0	-100.21570622621027	9.388187541286586e-05	754982
785980	145	74899.52306461334	-5961.99	-7500.0	2675.104364980057	-86.0	-7500.0	-99.86559602057534	0.011437383950631212	784980
817468	150	77921.08759140968	-7053.91	-7500.0	1708.1933518111225	-70.0	-7500.0	-99.7484823880619	0.0019352054399350322	816468
847462	154	80898.84249639511	-7053.91	-7500.0	1708.1933518111225	-70.0	-7500.0	-99.65495476720699	0.0009962299226765998	846462
871092	163	83829.68268895149	-7053.91	-7500.0	1708.1933518111225	-70.0	-7500.0	-99.8693127674934	0.0003051868383656702	870092
900286	170	86545.04191422462	-6604.57	-7500.0	2284.140884645492	-58.0	-7500.0	-99.97606439995222	0.0005974251360892713	899286
933680	178	89503.90423774719	-7053.93	-7500.0	1708.1772212779706	-70.0	-7500.0	-100.01190684422889	0.00039154888701856155	932680
963305	184	91956.82159233093	-5960.57	-7500.0	2673.4837872534536	-86.0	-7500.0	-100.20557210815896	0.0021851683193461822	962305
993300	191	95295.5131893158	-7491.15	-7500.0	62.47785466253082	-7021.0	-7500.0	-99.89672325084605	0.004576178740366552	992300
