steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
35983	5	1592.9815051555634	-4370.75	-4410.0	2931.7811815455543	-304.0	-7500.0	-48.964331384747446	0.22987282226330139	34983
65977	9	3468.3217725753784	-5630.17	-7500.0	2641.6240186023	-393.0	-7500.0	-70.77079095156839	0.3014413782787563	64977
93709	13	5242.426535129547	-4215.21	-3612.5	3022.1618267342496	-225.0	-7500.0	-82.43656317648211	0.3818834516627471	92709
123703	17	6954.499467849731	-4448.95	-4910.0	2872.841135425685	-349.0	-7500.0	-89.32866877343439	0.363786292284786	122703
153699	21	8761.055065870285	-5712.08	-7500.0	2644.3474751425783	-232.0	-7500.0	-92.33851756028463	0.4283679306553392	152699
187191	26	10894.998669624329	-6606.4	-7500.0	1908.7682791356167	-574.0	-7500.0	-95.93342922954155	0.3148203867616591	186191
217189	30	13026.166585445404	-6350.52	-7500.0	2185.6043958945397	-309.0	-7500.0	-97.4298841887809	0.5830137190391647	216189
247188	34	14987.193303585052	-4854.41	-7372.0	2962.638672013361	-304.0	-7500.0	-96.55041905033902	0.6018657955853276	246188
277182	38	16828.57102251053	-4408.51	-4500.5	2958.3569269054906	-266.0	-7500.0	-97.88413085278465	0.517164499387725	276182
300230	42	18579.706968307495	-4922.18	-7500.0	3000.678490211199	-311.0	-7500.0	-99.02095106166564	0.4156490045077344	299230
330227	46	20396.465274572372	-5930.23	-7500.0	2649.7355608673956	-352.0	-7500.0	-98.62314965031148	0.32814725045998144	329227
363423	51	22114.10956144333	-4140.3	-3756.0	3046.515534014212	-206.0	-7500.0	-97.75760210754069	0.35566479950691215	362423
392654	56	24111.845871448517	-5227.4	-7500.0	2828.3835302057946	-170.0	-7500.0	-101.80247154683765	0.24654840255740007	391654
423637	69	26200.400187015533	-5376.64	-7500.0	2802.4867042818896	-127.0	-7500.0	-100.65853622218718	0.33073169163887656	422637
450025	74	27855.958836317062	-3897.51	-3344.0	2949.7879584639622	-207.0	-7500.0	-102.5082152748316	0.2550091406167392	449025
480097	80	29514.748644590378	-3689.17	-3024.0	2994.1124283223476	-117.0	-7500.0	-100.02354207011612	0.30020969732765956	479097
515643	89	31734.19077682495	-6542.07	-7500.0	2066.8471096935264	-468.0	-7500.0	-99.17315018815421	0.25244540735354637	514643
540225	94	33541.894960165024	-5782.02	-7500.0	2610.8146102105543	-234.0	-7500.0	-100.48207214117204	0.15987012252150853	539225
570300	99	35259.992193460464	-3851.81	-2914.5	2981.966017105446	-200.0	-7500.0	-100.03683879243323	0.14561291211815772	569300
600877	105	37566.46512079239	-6498.77	-7500.0	2075.662205906901	-637.0	-7500.0	-99.4864642103043	0.14043624512804664	599877
631445	110	39605.56574392319	-5463.07	-7500.0	2802.7973625748555	-192.0	-7500.0	-99.87340576263912	0.2024763319134377	630445
660357	114	41492.637927770615	-5714.38	-7500.0	2593.0747467090496	-136.0	-7500.0	-99.99275976508811	0.11998481410635448	659357
690353	118	43225.0158867836	-3845.49	-3015.0	3049.848237638434	-195.0	-7500.0	-99.74243255162543	0.20175811392281223	689353
720351	122	44948.760331869125	-4742.67	-6103.0	2968.243091732239	-272.0	-7500.0	-100.85876927011674	0.2063109856001073	719351
754351	127	47029.94355034828	-6201.58	-7500.0	2388.547875411191	-206.0	-7500.0	-100.77549460537702	0.16029425775046424	753351
785179	132	49220.34710788727	-5563.14	-7500.0	2862.7032573771908	-96.0	-7500.0	-99.76232354726162	0.14179613533606908	784179
815177	136	51375.237159729004	-5357.66	-7500.0	2857.3960322735325	-114.0	-7500.0	-100.47282570526609	0.16629683669063625	814177
843733	141	53302.20942521095	-5328.41	-7500.0	2751.6425474595894	-109.0	-7500.0	-100.64806442491457	0.15274330044730636	842733
873731	145	55516.92508268356	-5584.78	-7500.0	2780.3980551443537	-107.0	-7500.0	-100.28643637969056	0.16119229132536544	872731
903726	149	57281.23481440544	-3790.54	-2862.0	2927.484659691195	-203.0	-7500.0	-100.91462034827202	0.1307406832893124	902726
930433	153	59015.08495211601	-3795.6	-2859.5	2972.865206388197	-200.0	-7500.0	-99.81793395417381	0.13121026695835897	929433
962767	166	60751.28114795685	-3834.68	-3143.0	2955.283650027728	-215.0	-7500.0	-100.07883917741421	0.11879101367521394	961767
994644	175	62479.94725060463	-3942.64	-3207.5	3004.775994676112	-207.0	-7500.0	-100.73859359112322	0.13136286036284095	993644
