steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
37495	5	2856.6531777381897	-6790.42	-7500.0	1776.4677822617953	-383.0	-7500.0	-5.524485650509302	1.71369339468058	36495
64053	9	5461.288108587265	-6844.72	-7500.0	1778.070387989875	-258.0	-7500.0	-50.78031847005751	2.606585455362906	63053
94047	13	8481.367505550385	-6665.4	-7500.0	2013.0361360016577	-490.0	-7500.0	-65.94378290721619	2.1501316406065363	93047
124041	17	10863.050320625305	-6581.35	-7500.0	2091.6849250682035	-212.0	-7500.0	-43.98046619083255	2.4979434880181426	123041
156855	23	13696.33831191063	-6794.25	-7500.0	1823.0948953564505	-222.0	-7500.0	-41.79640166678211	2.540519052578723	155855
186850	27	16790.889654159546	-6567.82	-7500.0	2095.866327856437	-443.0	-7500.0	-87.45243619298644	2.602638744864344	185850
216848	31	19340.184859752655	-6542.1	-7500.0	2108.9774797519794	-214.0	-7500.0	-86.60930645211204	3.1623931498875066	215848
246845	35	22215.034587860107	-6762.4	-7500.0	1883.3167711795222	-389.0	-7500.0	-91.03284956991767	2.4505307972479766	245845
276840	39	25215.44327378273	-6699.79	-7500.0	1975.6012269635282	-350.0	-7500.0	-89.05202647208131	1.8940646618876162	275840
306837	43	27664.090440034866	-6777.97	-7500.0	1837.5673337762662	-294.0	-7500.0	-94.58816660582235	3.0356245798883976	305837
330299	47	30608.489542245865	-6608.13	-7500.0	2053.2506656666656	-301.0	-7500.0	-91.91152203010613	2.44337038943245	329299
362642	52	33323.73171758652	-6543.09	-7500.0	2106.3416756178103	-221.0	-7500.0	-93.3749120990893	2.276123742144038	361642
391011	56	36227.04231095314	-6726.96	-7500.0	1897.0454855225307	-440.0	-7500.0	-93.15758388493963	2.1982822450901516	390011
421004	60	39039.0531129837	-6728.36	-7500.0	1893.1994218542036	-262.0	-7500.0	-75.94905308711792	1.4474679488672075	420004
454906	65	41687.54274106026	-6529.77	-7500.0	2123.832417702689	-221.0	-7500.0	-90.70236714237457	1.107172638645996	453906
481037	70	44454.81858921051	-6535.37	-7500.0	2115.7894897053143	-219.0	-7500.0	-95.09512237294301	0.86005280931689	480037
511031	74	47442.782542943954	-6699.01	-7500.0	1963.5628023281731	-416.0	-7500.0	-95.00128949524323	0.8428028435122206	510031
541355	79	50614.697501420975	-6781.3	-7500.0	1889.9400690621026	-298.0	-7500.0	-96.6093476402085	1.0164413841133426	540355
571226	84	53090.70634269714	-6646.67	-7500.0	2015.1532215098723	-228.0	-7500.0	-95.75252242053229	0.45852088008215897	570226
601223	88	56226.355677604675	-6766.04	-7500.0	1902.6133007317098	-390.0	-7500.0	-97.46324059507646	2.3857168813248384	600223
631218	92	59045.603723049164	-6546.22	-7500.0	2104.2155407705272	-270.0	-7500.0	-97.84195301885822	0.3327362947407243	630218
663698	97	62130.455036878586	-6719.67	-7500.0	1917.662013252259	-352.0	-7500.0	-98.08855241482834	2.5445480986920184	662698
693695	101	64816.023203372955	-6529.75	-7500.0	2123.8592392580586	-221.0	-7500.0	-98.2184169215444	0.23879155844169403	692695
723691	105	67611.97987604141	-6532.03	-7500.0	2120.3723489238414	-223.0	-7500.0	-97.88324480882886	0.549883325510571	722691
757196	110	70169.58254623413	-6820.13	-7500.0	1779.9609328081424	-338.0	-7500.0	-99.10531673959566	0.37664284705008	756196
787193	114	72470.21769547462	-6843.05	-7500.0	1754.1735075084348	-291.0	-7500.0	-98.81369099540865	0.4311900343483791	786193
810031	118	75322.68155145645	-6686.05	-7500.0	1952.1392636145235	-480.0	-7500.0	-98.56739354236953	0.5992803873436451	809031
841741	123	77443.40473127365	-6855.93	-7500.0	1736.2988981558947	-338.0	-7500.0	-99.68877856085258	1.062134489389861	840741
871738	127	80624.138620615	-6807.41	-7500.0	1863.2753072495918	-296.0	-7500.0	-99.57415328721365	0.18098099766457693	870738
901733	131	83419.48580169678	-6661.56	-7500.0	1973.5518067021635	-345.0	-7500.0	-99.43026703301773	0.5785114399515269	900733
931730	135	86600.21305513382	-6730.11	-7500.0	1938.4019758814243	-325.0	-7500.0	-98.27865028385591	0.40735406602601737	930730
961726	139	89282.65172076225	-6544.45	-7500.0	2100.489016535402	-256.0	-7500.0	-98.67765277643734	0.06043311597001705	960726
990360	143	91849.73486304283	-6535.2	-7500.0	2114.464762610915	-239.0	-7500.0	-99.40138044178828	0.19228224928637971	989360
